ticker,close_date,value,currency,src
AFKS,2014-07-17,2.06,RUB,iss
AFKS,2015-07-16,0.47,RUB,iss
AFKS,2016-07-14,0.67,RUB,iss
AFKS,2016-10-07,0.38,RUB,iss
AFKS,2017-07-13,0.81,RUB,iss
AFKS,2017-12-08,0.68,RUB,iss
AFKS,2018-07-19,0.11,RUB,iss
AFKS,2019-07-18,0.11,RUB,iss
AFKS,2020-07-16,0.13,RUB,iss
AFLT,2014-07-08,2.5,RUB,iss
AFLT,2017-07-14,17.48,RUB,iss
AFLT,2018-07-06,12.8053,RUB,iss
AFLT,2019-07-05,2.6877,RUB,iss
AKRN,2014-06-09,152.0,RUB,iss
AKRN,2015-06-02,139.0,RUB,iss
AKRN,2016-06-14,180.0,RUB,iss
AKRN,2016-09-20,155.0,RUB,iss
AKRN,2017-07-11,95.0,RUB,iss
AKRN,2017-09-26,235.0,RUB,iss
AKRN,2018-01-23,112.0,RUB,iss
AKRN,2018-06-14,185.0,RUB,iss
AKRN,2018-10-30,40.0,RUB,iss
AKRN,2019-03-22,130.0,RUB,iss
AKRN,2019-06-11,135.0,RUB,iss
AKRN,2019-12-11,101.0,RUB,iss
AKRN,2020-04-14,157.0,RUB,iss
AKRN,2020-06-09,275.0,RUB,iss
ALRS,2014-07-18,1.47,RUB,iss
ALRS,2015-07-15,1.47,RUB,iss
ALRS,2016-07-19,2.09,RUB,iss
ALRS,2017-07-20,8.93,RUB,iss
ALRS,2018-07-14,5.24,RUB,iss
ALRS,2018-10-15,5.93,RUB,iss
ALRS,2019-07-15,4.11,RUB,iss
ALRS,2019-10-14,3.84,RUB,iss
ALRS,2020-07-13,2.63,RUB,iss
BANE,2013-11-05,199.0,RUB,iss
BANE,2014-06-23,211.0,RUB,iss
BANE,2015-07-17,113.0,RUB,iss
BANE,2016-07-15,164.0,RUB,iss
BANE,2017-12-12,148.31,RUB,iss
BANE,2018-07-09,158.95,RUB,iss
BANE,2019-06-24,158.95,RUB,iss
BANE,2020-07-06,107.81,RUB,iss
BANEP,2013-11-05,199.0,RUB,iss
BANEP,2014-06-23,211.0,RUB,iss
BANEP,2015-07-17,113.0,RUB,iss
BANEP,2016-07-15,164.0,RUB,iss
BANEP,2017-07-12,0.1,RUB,iss
BANEP,2017-12-12,148.31,RUB,iss
BANEP,2018-07-09,158.95,RUB,iss
BANEP,2019-06-24,158.95,RUB,iss
BANEP,2020-07-06,107.81,RUB,iss
BSPB,2014-07-07,0.11,RUB,dohod
BSPB,2015-07-03,2.02,RUB,dohod
BSPB,2016-06-07,1.05,RUB,dohod
BSPB,2017-05-31,1.05,RUB,dohod
BSPB,2018-06-04,1.62,RUB,dohod
BSPB,2019-06-10,3.71,RUB,iss
BSPB,2020-12-11,3.33,RUB,iss
CHMF,2013-08-12,2.03,RUB,iss
CHMF,2013-10-31,2.01,RUB,iss
CHMF,2014-06-23,2.43,RUB,iss
CHMF,2014-09-22,2.14,RUB,iss
CHMF,2014-11-25,54.46,RUB,iss
CHMF,2015-06-05,12.81,RUB,iss
