ticker,avg_weight,years_present
GAZP,14.708333333333336,6
LKOH,13.478333333333333,6
SBER,12.836666666666668,6
GMKN,6.345,6
NVTK,5.786666666666666,6
MGNT,4.720000000000001,6
ROSN,3.8800000000000003,6
TATN,3.1733333333333333,6
SNGS,2.86,6
VTBR,2.8266666666666667,6
MTSS,2.2983333333333333,6
SNGSP,1.9916666666666665,6
TRNFP,1.9666666666666668,6
YNDX,1.965,6
ALRS,1.7583333333333335,6
CHMF,1.31,6
MOEX,1.21,6
POLY,1.08,6
NLMK,1.0066666666666666,6
SBERP,1.0,6
IRAO,0.8533333333333334,6
HYDR,0.7200000000000001,6
PHOR,0.6783333333333333,6
RTKM,0.655,6
PLZL,0.6050000000000001,4
MFON,0.5499999999999999,4
FIVE,0.5466666666666666,2
URKA,0.5316666666666667,4
AFKS,0.5133333333333333,6
MAGN,0.5033333333333334,6
TATNP,0.48500000000000004,6
RUAL,0.4833333333333334,5
AFLT,0.4166666666666667,6
PIKK,0.41,6
FEES,0.3116666666666667,6
BANEP,0.27666666666666667,6
LSRG,0.22666666666666668,6
BANE,0.22666666666666666,3
AKRN,0.20499999999999996,6
MVID,0.19333333333333336,6
RSTI,0.17833333333333334,6
MTLR,0.17500000000000002,6
TCSG,0.165,1
UPRO,0.16166666666666665,4
AGRO,0.155,5
TRMK,0.15333333333333335,6
RUALR,0.15333333333333335,1
CBOM,0.15333333333333335,4
VSMO,0.1466666666666667,6
NMTP,0.13666666666666666,6
LNTA,0.13499999999999998,4
EONR,0.13333333333333333,2
RNFT,0.12166666666666669,3
MSNG,0.11666666666666665,6
DIXY,0.11499999999999999,4
UWGN,0.10833333333333334,5
SFIN,0.10166666666666667,3
DSKY,0.10166666666666667,3
RTKMP,0.09000000000000001,6
OGKB,0.085,6
RASP,0.085,6
BSPB,0.085,6
ENPL,0.08,3
NKNC,0.08,4
GCHE,0.07500000000000001,3
ENRU,0.07,6
TGKA,0.06833333333333334,6
MTLRP,0.06833333333333333,6
PHST,0.06166666666666667,2
QIWI,0.06166666666666667,5
SVAV,0.05666666666666668,6
PRTK,0.05499999999999999,6
NKNCP,0.05000000000000001,6
MRKP,0.04833333333333333,6
IRGZ,0.04666666666666667,6
MSRS,0.041666666666666664,6
MRKC,0.041666666666666664,6
LSNGP,0.04,6
KZOS,0.03833333333333333,2
MGTSP,0.03833333333333333,5
FESH,0.030000000000000002,6
KBTK,0.028333333333333335,6
MSTT,0.02666666666666667,6
AVAZ,0.024999999999999998,4
CHZN,0.023333333333333334,3
MRKV,0.021666666666666667,6
NKHP,0.02,4
RSTIP,0.02,6
MRKU,0.018333333333333333,6
TAER,0.018333333333333333,1
TRCN,0.016666666666666666,2
TGKD,0.014999999999999998,6
VTGK,0.013333333333333334,2
SELG,0.013333333333333334,4
OTCP,0.013333333333333334,1
VZRZ,0.011666666666666667,2
DVEC,0.011666666666666665,4
MRKY,0.01,6
APTK,0.01,5
MFGSP,0.01,3
LNZLP,0.01,6
SYNG,0.008333333333333333,1
TNSE,0.008333333333333333,2
LSNG,0.008333333333333333,4
AVAZP,0.008333333333333333,4
FTRE,0.008333333333333333,1
PSBR,0.008333333333333333,1
MRKZ,0.008333333333333333,5
KRSG,0.006666666666666667,1
KRKNP,0.006666666666666667,4
EPLN,0.006666666666666667,1
VRAO,0.006666666666666667,2
TGKB,0.005,4
LNZL,0.005,6
GAZA,0.005,2
OBUV,0.005,2
MSSB,0.005,1
RBCM,0.005,6
DGBZP,0.005,1
CHMK,0.005,5
UNAC,0.0033333333333333335,1
UTAR,0.0033333333333333335,2
TGKN,0.0033333333333333335,2
JNOSP,0.0033333333333333335,1
KZOSP,0.0033333333333333335,2
AQUA,0.0033333333333333335,3
SELGP,0.0033333333333333335,4
KOGK,0.0033333333333333335,1
HALS,0.0016666666666666668,1
ROLO,0.0016666666666666668,2
CNTLP,0.0016666666666666668,3
VRPH,0.0016666666666666668,1
RSEA,0.0016666666666666668,1
GRAZ,0.0016666666666666668,3
GAZAP,0.0,1
UNKL,0.0,1
TTLK,0.0,3
AMEZ,0.0,5
BRZL,0.0,1
BLNG,0.0,1
GTRK,0.0,1
YKEN,0.0,1
ARMD,0.0,1
