date,E,M
2017-01-03,100.0,100.0
2017-01-04,100.029132902418,100.029132902418
2017-01-05,100.05827429209602,100.05827429209602
2017-01-06,100.08742417150667,100.08742417150667
2017-01-09,100.11658254312323,100.11658254312323
2017-01-10,100.14574940941976,100.13550427693535
2017-01-11,100.17492477287098,100.15937203817421
2017-01-12,100.20410863595235,100.12755274530915
2017-01-13,100.23330100114008,100.13067292035221
2017-01-16,100.26250187091108,100.20121401790992
2017-01-17,100.29171124774297,100.30693787045401
2017-01-18,100.32092913411412,100.32178694664964
2017-01-19,100.43704445994297,100.44045872666823
2017-01-20,100.466304686097,100.46159316961456
2017-01-23,100.49557343660418,100.52585697414985
2017-01-24,100.52485071394787,100.64235415573297
2017-01-25,100.55413652061219,100.64000681011149
2017-01-26,100.583430859082,100.593331761501
2017-01-27,100.61273373184284,100.71668369910921
2017-01-30,100.64204514138103,100.70688309531417
2017-01-31,100.67136509018353,100.72013908158772
2017-02-01,100.76186047913954,100.44335177034047
2017-02-02,100.7912153336275,100.49514657612718
2017-02-03,100.82057874003657,100.31097616049973
2017-02-06,100.84995070085814,100.4380096418774
2017-02-07,100.87933121858443,100.51229319338964
2017-02-08,100.90872029570826,100.54506710810637
2017-02-09,100.93811793472327,100.42750878498796
2017-02-10,100.96752413812374,100.55957713628095
2017-02-13,100.99693890840479,100.58277091177445
2017-02-14,101.02636224806211,100.68110984060098
2017-02-15,101.05579415959228,100.59729646746487
2017-02-16,101.08523464549253,100.57289854158063
2017-02-17,101.1146837082608,100.64609421261794
2017-02-20,101.14414135039578,100.59390720657467
2017-02-21,101.17360757439693,100.96545593509578
2017-02-22,101.20308238276435,100.91829716975747
2017-02-24,101.23256577799891,101.21043851243732
2017-02-27,101.56548522888158,101.31090140946252
2017-02-28,101.59507420258367,101.39944352695511
2017-03-01,101.62467179641261,101.45371648416044
2017-03-02,101.65427801287964,101.19085573017556
2017-03-03,101.68389285449686,101.20649145478343
2017-03-06,101.71351632377699,101.33223587806263
2017-03-07,101.65470644075175,101.40626870228287
2017-03-09,101.68432140718242,101.28911846261651
2017-03-10,101.71394500131238,101.2834608315834
2017-03-13,101.74357722565512,101.33709490348676
2017-03-14,102.03541315306236,101.47709064904186
2017-03-15,102.06513903040806,101.42681092577088
2017-03-16,102.09487356776455,101.42199249664068
2017-03-17,102.12461676765484,101.57522719957387
2017-03-20,102.15436863260251,101.32701643135469
2017-03-21,102.18412916513196,101.54115381883219
2017-03-22,102.40648323023146,101.56317919985477
2017-03-23,102.43631721106061,101.42554433996756
2017-03-24,102.4661598833943,101.46999445354915
2017-03-27,102.49601124976459,101.46778874412838
2017-03-28,102.52587131270433,101.5142145059728
2017-03-29,102.55574007474705,101.61153856407978
2017-03-30,102.58561753842707,101.56658340829577
2017-03-31,102.61550370627945,101.40621453082082
2017-04-03,102.89543466419919,101.59333334245137
2017-04-04,102.92541109077247,101.61420341299743
2017-04-05,102.46052119909886,101.75027986132677
2017-04-06,102.5687942666397,101.73249647193498
2017-04-07,102.59867553338471,101.97080560253795
2017-04-10,102.62856550541001,101.78906140150187
2017-04-11,102.65846418525169,101.75106756802401
2017-04-12,102.6883715754466,101.93575754826654
2017-04-13,102.71828767853229,102.00534662705233
2017-04-14,102.7482124970471,101.93091708651176
2017-04-17,102.77814603353012,101.97679999830824
2017-04-18,102.80808829052108,102.01156517925178
2017-04-19,102.83803927056057,102.04411039746411
2017-04-20,102.86799897618984,101.68915491635319
2017-04-21,102.89796740995091,101.7992094254884
2017-04-24,102.92794457438656,101.89640553068996
2017-04-25,103.24404146422835,102.13888675872407
2017-04-26,103.2741194500805,102.25055684988827
2017-04-27,103.48552131317089,102.27897324383027
2017-04-28,103.5156696491118,102.3186372587074
2017-05-02,103.9500276532573,102.65678830493187
2017-05-03,103.98031131337699,102.67694106407836
2017-05-04,103.94755818826852,102.47037863829385
2017-05-05,103.9778411289614,102.90309547295026
2017-05-10,104.09128658801498,102.5873114478099
2017-05-11,104.1216114009623,102.77929474888258
2017-05-12,104.15194504840777,102.48449147180652
2017-05-15,104.18228753292516,102.38324526743483
2017-05-16,104.21263885708899,102.35713699156892
2017-05-17,104.24299902347443,102.10844843992412
2017-05-18,104.27336803465752,102.23238478492851
2017-05-19,104.30374589321502,101.86884957779192
2017-05-22,104.3341326017244,101.77441103594913
2017-05-23,104.3645281627639,101.3791093424577
2017-05-24,104.39493257891257,101.52844855196318
2017-05-25,104.42534585275011,101.90376293152741
2017-05-26,104.26086463430073,101.7287603021082
2017-05-29,104.20379809152935,101.73007225002654
2017-05-30,104.29576070069771,101.98489846032425
2017-05-31,104.32614508288877,102.01068380309752
2017-06-01,104.35653831693222,102.06512892031814
2017-06-02,104.3152711070835,102.11214190422422
2017-06-05,104.4428312023112,102.31032139839121
2017-06-06,104.47325843040795,102.41992980941498
2017-06-07,104.50369452283938,102.2103708516652
2017-06-08,104.53413948218791,102.07764720134774
2017-06-09,104.56459331103676,102.06825671708452
2017-06-13,104.59505601196983,102.17522546736883
2017-06-14,104.62552758757184,101.8651955116237
2017-06-15,104.65600804042823,101.88549740557639
2017-06-16,104.68649737312523,101.88855139398548
2017-06-19,104.71699558824976,101.82802330650124
2017-06-20,104.40454406333699,102.05104406441819
