date,E,M
2017-01-03,100.0,100.0
2017-01-04,100.029132902418,100.029132902418
2017-01-05,100.05827429209602,100.05827429209602
2017-01-06,100.08742417150667,100.08742417150667
2017-01-09,100.11658254312323,100.11658254312323
2017-01-10,100.14574940941976,100.14574940941976
2017-01-11,100.17492477287098,100.17492477287098
2017-01-12,100.20410863595235,100.20410863595235
2017-01-13,100.23330100114008,100.23330100114008
2017-01-16,100.26250187091108,100.26250187091108
2017-01-17,100.29171124774297,100.29171124774297
2017-01-18,100.32092913411412,100.32092913411412
2017-01-19,100.35015553250358,100.35015553250358
2017-01-20,100.37939044539117,100.37939044539117
2017-01-23,100.40863387525741,100.40863387525741
2017-01-24,100.43788582458353,100.43788582458353
2017-01-25,100.46714629585149,100.46714629585149
2017-01-26,100.49641529154401,100.49641529154401
2017-01-27,100.52569281414448,100.52569281414448
2017-01-30,100.55497886613705,100.55497886613705
2017-01-31,100.58427345000653,100.5761389503162
2017-02-01,100.61357656823857,100.49266175183831
2017-02-02,100.64288822331946,100.4794539504693
2017-02-03,100.58593862465685,100.3034208098781
2017-02-06,100.61524222800259,100.35660415453991
2017-02-07,100.64455436833852,100.47912390664868
2017-02-08,100.67387504815167,100.45944319831955
2017-02-09,100.70320426992986,100.45140276308933
2017-02-10,100.7325420361616,100.51767253842249
2017-02-13,100.76188834933617,100.45897664297983
2017-02-14,100.79124321194351,100.54164417746588
2017-02-15,100.82060662647432,100.56313849166649
2017-02-16,100.84997859542004,100.60205715697421
2017-02-17,100.87935912127281,100.68328591252624
2017-02-20,100.9087482065255,100.66982232517196
2017-02-21,100.93814585367174,100.95110734203654
2017-02-22,100.96755206520584,100.89658874372807
2017-02-24,100.99696684362281,101.04603985333286
2017-02-27,101.02639019141851,101.01846275692941
2017-02-28,101.0558221110894,101.13250712623655
2017-03-01,101.08526260513274,101.11372593541755
2017-03-02,101.11471167604644,101.05555115904573
2017-03-03,101.14416932632926,101.16129723404111
2017-03-06,101.03903629832436,101.17273251980106
2017-03-07,101.06847190217323,101.18859378140414
2017-03-09,101.3933677157208,101.41885555432437
2017-03-10,101.42290654659575,101.44605782365922
2017-03-13,101.45245398298947,101.49115975061541
2017-03-14,101.48201002740898,101.51249166219294
2017-03-15,101.5115746823621,101.43008238843035
2017-03-16,101.54114795035726,101.43761146265848
2017-03-17,101.57072983390377,101.41236251967179
2017-03-20,101.60032033551151,101.3344864875999
2017-03-21,101.62991945769123,101.432141934528
2017-03-22,101.65952720295434,101.59874072048635
2017-03-23,101.68914357381296,101.44446997601675
2017-03-24,101.71876857278001,101.4701056092471
2017-03-27,101.74840220236909,101.44063103261358
2017-03-28,101.77804446509458,101.55081439278999
2017-03-29,101.80769536347154,101.55180008918686
2017-03-30,101.83735490001578,101.51761322194656
2017-03-31,101.86702307724389,101.35189705314775
2017-04-03,101.89669989767309,101.35420721686044
2017-04-04,101.67024578639139,101.37991971718877
2017-04-05,101.69986527988449,101.3766279257594
2017-04-06,101.90950712602191,101.36547845103158
2017-04-07,101.93919632328758,101.59112218309959
2017-04-10,101.96889416987814,101.3949596348717
2017-04-11,101.99860066831336,101.36210451920242
2017-04-12,102.0283158211138,101.53927099141046
2017-04-13,102.05803963080068,101.60651249383295
2017-04-14,102.08777209989603,101.52879882318695
2017-04-17,102.1175132309226,101.57994588875458
2017-04-18,102.02662067313267,101.6588381745853
2017-04-19,102.05634398897375,101.84393004452913
2017-04-20,102.08607596407943,101.74716496580896
2017-04-21,101.98410745261539,101.91905052936947
2017-04-24,102.06316654442729,102.15836631445757
2017-04-25,102.29799079905965,102.29575484957317
2017-04-26,102.49618304557042,102.60173438371385
2017-04-27,102.73573770820529,102.68094060993799
2017-04-28,102.98303509471477,103.01730982808462
2017-05-02,103.01303704183599,103.03631762001626
2017-05-03,103.0792347681682,102.85785670344094
2017-05-04,103.10926474104642,102.86533537553852
2017-05-05,103.13930346252735,103.05107649036634
2017-05-10,103.25197013958622,103.10694099501048
2017-05-11,103.28205043529164,103.13556088397178
2017-05-12,103.31213949426024,103.12645854888805
2017-05-15,103.34223731904504,103.04454433174412
2017-05-16,103.3723439121998,103.04284415027628
2017-05-17,103.40245927627892,103.1303077071219
2017-05-18,103.43258341383768,103.0886332942755
2017-05-19,103.46271632743205,102.99348709899608
2017-05-22,103.49285801961872,103.03096065019443
2017-05-23,103.52300849295516,102.88251009847417
2017-05-24,103.55316774999959,102.89996957643905
2017-05-25,103.58333579331094,102.9168296200122
2017-05-26,103.6135126254489,102.8449685948405
2017-05-29,103.64369824897395,102.74624432110176
2017-05-30,103.6738926664472,102.82697681241109
2017-05-31,103.70409588043066,103.01155034968092
2017-06-01,103.73430789348697,102.95418317904502
2017-06-02,103.76452870817957,102.9229683823199
2017-06-05,103.41788860003591,102.99593445671876
2017-06-06,103.44801723260451,103.00156384891667
2017-06-07,103.47815464251823,102.84611897589376
2017-06-08,103.50830083233417,102.78417781096437
2017-06-09,103.5384558046102,102.73920345876402
2017-06-13,103.56861956190484,102.84681456154529
2017-06-14,103.59879210677747,102.58008873404425
2017-06-15,103.62897344178815,102.55235282343456
2017-06-16,103.65916356949774,102.48147542214839
2017-06-19,103.68936249246774,102.58967474431131
2017-06-20,103.71957021326051,102.68542827326725
