date,E,M
2017-01-03,100.0,100.0
2017-01-04,100.029132902418,100.029132902418
2017-01-05,100.05827429209602,100.05827429209602
2017-01-06,100.08742417150667,100.08742417150667
2017-01-09,100.11658254312323,100.11658254312323
2017-01-10,100.14574940941976,100.1368358528937
2017-01-11,100.17492477287098,100.16013987471784
2017-01-12,100.20410863595235,100.12646941284453
2017-01-13,100.23330100114008,100.12374893445005
2017-01-16,100.26250187091108,100.1961608326767
2017-01-17,100.29171124774297,100.29705304296127
2017-01-18,100.32092913411412,100.30160126540592
2017-01-19,100.35015553250358,100.41660642997687
2017-01-20,100.37939044539117,100.39176973835475
2017-01-23,100.40863387525741,100.46848184018015
2017-01-24,100.46302924619249,100.56581153851522
2017-01-25,100.49229704246893,100.58903204168423
2017-01-26,100.52157336530392,100.60864328633131
2017-01-27,100.55085821718146,100.83669195367366
2017-01-30,100.58015160058635,100.81616243889289
2017-01-31,100.60945351800399,100.85192843181694
2017-02-01,100.94126954395036,100.62283339478051
2017-02-02,100.97067666550609,100.67438954553405
2017-02-03,100.73147172184838,100.48345502352035
2017-02-06,100.76081772320931,100.56390991537904
2017-02-07,100.79017227391219,100.63019360670148
2017-02-08,100.81953537644769,100.65988540624457
2017-02-09,100.84890703330717,100.54729391586223
2017-02-10,100.8782872469828,100.6797201665707
2017-02-13,100.90767601996743,100.7062644917597
2017-02-14,100.93707335475457,100.80353268710616
2017-02-15,100.96647925383859,100.69761165668488
2017-02-16,100.9958937197145,100.75994602305877
2017-02-17,101.02531675487803,100.7724170564658
2017-02-20,101.0547483618257,100.72895062340699
2017-02-21,101.08418854305471,101.05688412183649
2017-02-22,101.113637301063,100.99768539767116
2017-02-24,101.14309463834918,101.3377844966866
2017-02-27,101.44926681668255,101.35339711007133
2017-02-28,101.74729585332544,101.73519653806711
2017-03-01,101.77693779373935,101.79576742652743
2017-03-02,101.8065883697108,101.51990831245382
2017-03-03,101.83624758375564,101.54030231154005
2017-03-06,101.86591543839037,101.66206563458002
2017-03-07,101.80867530386018,101.72498603900034
2017-03-09,101.8383351258895,101.60098912970723
2017-03-10,101.86800358868585,101.57790294077425
2017-03-13,101.89768069476649,101.63647750749647
2017-03-14,102.18612125714438,101.86886928259233
2017-03-15,102.21589104013498,101.83243374363967
2017-03-16,102.24566949592736,101.83637017381443
2017-03-17,102.27545662704824,101.98705784643504
2017-03-20,102.30525243602496,101.75841533623789
2017-03-21,102.33505692538563,101.97719906621859
2017-03-22,102.58738011018177,101.99194708222367
2017-03-23,102.61726679152245,101.85365810480906
2017-03-24,102.64716217972082,101.89451634482889
2017-03-27,102.67706627731349,101.87153577196042
2017-03-28,102.70697908683772,101.92902329960249
2017-03-29,102.73690061083155,102.02614721245973
2017-03-30,102.76683085183377,101.97967118626417
2017-03-31,102.79676981238391,101.81557121125682
2017-04-03,102.80632846356674,102.0088655027115
2017-04-04,102.20560935198284,101.94695924816247
2017-04-05,102.23538481242109,102.04514933523848
2017-04-06,102.36832621045784,101.96431963337739
2017-04-07,102.39814907503965,102.24383144892496
2017-04-10,102.42798062788752,102.02566160952516
2017-04-11,102.45782087153256,101.96411881701401
2017-04-12,102.48766980850668,102.12871731825982
2017-04-13,102.51752744134247,102.18829905136792
2017-04-14,102.54739377257329,102.07797689256633
2017-04-17,102.57726880473325,102.15039010129198
2017-04-18,102.60715254035718,102.18140742576632
2017-04-19,102.63704498198064,102.1710668698636
2017-04-20,102.66694613213996,101.91227715953201
2017-04-21,102.69685599337215,102.05984483881014
2017-04-24,102.72677456821506,102.15093160423031
2017-04-25,102.8864247315907,102.3072902163536
2017-04-26,102.9163985333091,102.42250759697586
2017-04-27,103.28374611911462,102.46613995825825
2017-04-28,103.31383567208515,102.65392364151859
2017-05-02,103.43676164246712,102.84291081107997
2017-05-03,103.5744251542397,102.72045535317181
2017-05-04,103.63159052867735,102.62644360430274
2017-05-05,103.6617814188203,102.90597452649261
2017-05-10,103.7723651163355,102.72847377418634
2017-05-11,103.80259701820168,102.8172300789916
2017-05-12,103.83283772749832,102.7396531393587
2017-05-15,103.8630872467913,102.76580263134906
2017-05-16,103.89334557864724,102.7199309979285
2017-05-17,103.92361272563346,102.45457310610877
2017-05-18,103.95388869031807,102.40994632828092
2017-05-19,103.98417347526994,102.2360903465219
2017-05-22,104.01446708305865,102.28533719295635
2017-05-23,104.04476951625452,101.91711672424348
2017-05-24,104.07508077742872,102.06981462501282
2017-05-25,104.10540086915306,102.2135028119138
2017-05-26,104.21624105359543,102.22462419402402
2017-05-29,104.36963443654066,102.16504384108906
2017-05-30,104.48582783284068,102.40956558415112
2017-05-31,104.51626758710387,102.55626874656066
2017-06-01,104.54671620935095,102.50946125743431
2017-06-02,104.57717370216545,102.57052595233453
2017-06-05,104.7062359523494,102.7264410169388
2017-06-06,104.73673991789495,102.76600321719975
2017-06-07,104.76725277013102,102.59315077037456
2017-06-08,104.79777451164655,102.45367952905012
2017-06-09,104.82830514503128,102.42583941576576
2017-06-13,104.8588446728756,102.56155142604439
2017-06-14,104.52549340442394,102.25293911182706
2017-06-15,104.55594471441938,102.20201650590481
2017-06-16,104.58640489576526,102.09096912413618
2017-06-19,104.61687395104602,102.16601841806067
2017-06-20,104.64735188284693,102.36255113882117
