date,E,M
2017-01-03,100.0,100.0
2017-01-04,100.029132902418,100.029132902418
2017-01-05,100.05827429209602,100.05827429209602
2017-01-06,100.08742417150667,100.08742417150667
2017-01-09,100.11658254312323,100.11658254312323
2017-01-10,100.14574940941976,100.14574940941976
2017-01-11,100.17492477287098,100.17492477287098
2017-01-12,100.20410863595235,100.20410863595235
2017-01-13,100.23330100114008,100.23330100114008
2017-01-16,100.26250187091108,100.26250187091108
2017-01-17,100.29171124774297,100.29171124774297
2017-01-18,100.32092913411412,100.32092913411412
2017-01-19,100.35015553250358,100.35015553250358
2017-01-20,100.37939044539117,100.37939044539117
2017-01-23,100.40863387525741,100.40863387525741
2017-01-24,100.43788582458353,100.43788582458353
2017-01-25,100.46714629585149,100.46714629585149
2017-01-26,100.49641529154401,100.49641529154401
2017-01-27,100.52569281414448,100.52569281414448
2017-01-30,100.55497886613705,100.55497886613705
2017-01-31,100.58427345000653,100.58427345000653
2017-02-01,100.61357656823857,100.58899113161901
2017-02-02,100.64288822331946,100.57969765582729
2017-02-03,100.57907173083439,100.4062606222761
2017-02-06,100.60837333365465,100.46216031665318
2017-02-07,100.63768347288229,100.58081649828013
2017-02-08,100.66700215100417,100.53075152280456
2017-02-09,100.69632937050794,100.50693729436097
2017-02-10,100.72566513388195,100.63101419690403
2017-02-13,100.7550094436153,100.57678912864637
2017-02-14,100.78436230219774,100.62850275054853
2017-02-15,100.81372371211982,100.615971304053
2017-02-16,100.84309367587282,100.66232521432009
2017-02-17,100.87247219594869,100.75070507491881
2017-02-20,100.90185927484015,100.72235951223318
2017-02-21,100.93125491504064,100.94796341404431
2017-02-22,100.96065911904431,100.95629705043994
2017-02-24,100.99007188934601,101.04004086421024
2017-02-27,101.01949322844142,101.02658483687712
2017-02-28,101.0489231388268,101.2011472178115
2017-03-01,101.07836162299928,101.20466636294073
2017-03-02,101.10780868345658,101.1996243885345
2017-03-03,101.05476517846948,101.30920791478819
2017-03-06,101.08420536459766,101.28311338384232
2017-03-07,101.11365412750654,101.29817632270135
2017-03-09,101.43772868643164,101.54227071832106
2017-03-10,101.4672804409449,101.5600436047918
2017-03-13,101.49684080474196,101.59954353626304
2017-03-14,101.52640978033094,101.62438077282795
2017-03-15,101.55598737022075,101.67980655185995
2017-03-16,101.58557357692094,101.68796095408956
2017-03-17,101.61516840294186,101.65363207098422
2017-03-20,101.64477185079457,101.58820090972415
2017-03-21,101.67438392299086,101.68869045892019
2017-03-22,101.70400462204324,101.84137839728503
2017-03-23,101.73363395046498,101.71434312660499
2017-03-24,101.76327191077003,101.71660993359994
2017-03-27,101.79291850547315,101.64671275082408
2017-03-28,101.8225737370898,101.72246371664443
2017-03-29,101.8522376081361,101.73842921902872
2017-03-30,101.88191012112902,101.73756253878177
2017-03-31,101.91159127858622,101.57101043750214
2017-04-03,101.59006172827945,101.56700086450064
2017-04-04,101.61965786182913,101.55121369888208
2017-04-05,101.64926261759152,101.5178229699695
2017-04-06,101.67887599807851,101.34964578492735
2017-04-07,101.70849800580274,101.58029673145545
2017-04-10,101.73812864327758,101.39260348907621
2017-04-11,101.76776791301712,101.35900087846666
2017-04-12,101.7974158175362,101.53269632358968
2017-04-13,101.82707235935037,101.5969399468725
2017-04-14,101.8567375409759,101.51920459604756
2017-04-17,101.97027499263872,101.56148268411538
2017-04-18,101.99998189334768,101.66001513937384
2017-04-19,102.02969744853904,101.84766207731195
2017-04-20,102.0594216607341,101.69774952424835
2017-04-21,102.08915453245488,101.98128063684229
2017-04-24,102.1789238464118,101.99861235978314
2017-04-25,102.39794407533977,102.087089224924
2017-04-26,102.42777556846526,102.24774437846764
2017-04-27,102.45761575237056,102.40990461371445
2017-04-28,102.44504088599668,102.82326661494395
2017-05-02,102.71344563210003,102.7799840040991
2017-05-03,102.7433690399862,102.5118114419957
2017-05-04,102.77330116542957,102.52474681301335
2017-05-05,102.80324201096985,102.7184657844764
2017-05-10,102.91303420508194,102.76767254614873
2017-05-11,102.9430157589123,102.78868108050914
2017-05-12,102.97300604723947,102.77779376770704
2017-05-15,103.00300507260808,102.69399351755396
2017-05-16,103.0330128375635,102.6928635802696
2017-05-17,103.06302934465178,102.7822738802019
2017-05-18,103.09305459641979,102.72650296274351
2017-05-19,103.1230885954151,102.65236924790423
2017-05-22,103.15313134418602,102.70090215473546
2017-05-23,103.1831828452816,102.54627936282566
2017-05-24,103.2132431012517,102.5583710885186
2017-05-25,103.24331211464684,102.57176114221112
2017-05-26,103.27338988801831,102.48742069533934
2017-05-29,103.30347642391816,102.39855157151739
2017-05-30,103.3335717248991,102.47359027462284
2017-05-31,103.36367579351477,102.65373972068679
2017-06-01,103.39378863231934,102.61225762881672
2017-06-02,103.42391024386787,102.5866226975464
2017-06-05,103.06618061891926,102.65936177684819
2017-06-06,103.09620678874492,102.66564052401593
2017-06-07,103.12624170606534,102.51433148649309
2017-06-08,103.15628537342891,102.44626982830339
2017-06-09,103.1863377933848,102.40786431660472
2017-06-13,103.21639896848282,102.52225822893226
2017-06-14,103.24646890127369,102.25086216227854
2017-06-15,103.27654759430871,102.21674022116491
2017-06-16,103.30663505014004,102.11803478459795
2017-06-19,103.33673127132052,102.19207188541249
2017-06-20,103.36683626040374,102.28726355902042
