date,E,M
2020-01-03,100.0,100.0
2020-01-06,100.01927758540094,100.01927758540094
2020-01-08,100.0385588870549,100.0385588870549
2020-01-09,100.05784390567824,100.04604263170415
2020-01-10,100.0771326419875,99.78213459243895
2020-01-13,100.0964250966994,99.91302712263828
2020-01-14,100.11572127053073,99.89868739153424
2020-01-15,100.1350211641984,99.71594546995252
2020-01-16,100.1543247784196,99.78222058111513
2020-01-17,100.19587169179187,99.73042605125156
2020-01-20,100.21518703652548,99.76091910128743
2020-01-21,100.23450610479117,99.86061882824399
2020-01-22,100.25382889730676,99.90207972077553
2020-01-23,100.27315541479017,99.88014313783283
2020-01-24,100.29248565795947,99.9845818180089
2020-01-27,100.31181962753293,100.0495629443618
2020-01-28,100.33115732422888,100.11625455415107
2020-01-29,100.32431468519106,100.10972453912241
2020-01-30,100.30816027555832,100.20292223583414
2020-01-31,100.32749726681956,100.2655539960134
2020-02-03,100.31716874511423,100.31716874511423
2020-02-04,100.33650747299087,100.33650747299087
2020-02-05,100.35584992890732,100.35584992890732
2020-02-06,100.3751961135822,100.3751961135822
2020-02-07,100.39454602773439,100.39454602773439
2020-02-10,100.41389967208279,100.41389967208279
2020-02-11,100.43325704734652,100.43325704734652
2020-02-12,100.45261815424476,100.45261815424476
2020-02-13,100.47198299349695,100.47198299349695
2020-02-14,100.49135156582255,100.49135156582255
2020-02-17,100.51072387194124,100.51072387194124
2020-02-18,100.53009991257278,100.53009991257278
2020-02-19,100.54947968843707,100.54947968843707
2020-02-20,100.56886320025423,100.56886320025423
2020-02-21,100.58825044874442,100.58825044874442
2020-02-25,100.60764143462802,100.60764143462802
2020-02-26,100.62703615862546,100.62703615862546
2020-02-27,100.64643462145737,100.64643462145737
2020-02-28,100.66583682384456,100.66583682384456
2020-03-02,100.68524276650786,100.68524276650786
2020-03-03,100.70465245016834,100.70465245016834
2020-03-04,100.72406587554715,100.72406587554715
2020-03-05,100.74348304336561,100.74348304336561
2020-03-06,100.76290395434519,100.76290395434519
2020-03-10,100.78232860920748,100.78232860920748
2020-03-11,100.80175700867419,100.80175700867419
2020-03-12,100.8211891534672,100.80915641965689
2020-03-13,100.84062504430852,100.77818259122645
2020-03-16,101.08581562011629,101.06941439234849
2020-03-17,101.1053025245507,100.8896832987162
2020-03-18,101.12479318558978,100.32386967900499
2020-03-19,101.14428760395766,100.60394473660826
2020-03-20,101.64475906884525,101.25627138951779
2020-03-23,101.66435372408034,100.94788718230933
2020-03-24,101.68395215669183,101.13669249417465
2020-03-25,101.69506323077788,101.28520878795207
