date,E,M
2017-01-03,100.0,99.98811573894976
2017-01-04,100.029132902418,100.05691654332084
2017-01-05,100.05827429209602,100.13120224346501
2017-01-06,100.08742417150667,100.15827758883356
2017-01-09,100.11658254312323,100.31098692421499
2017-01-10,100.33088834609921,100.41325092339018
2017-01-11,100.38678968920934,100.48610351381718
2017-01-12,100.41603527469005,100.46235834070465
2017-01-13,100.44528938025863,100.5076810636506
2017-01-16,100.64578888797138,100.41582478725239
2017-01-17,100.67510992743593,100.562288124914
2017-01-18,100.70443950897031,100.67131073591739
2017-01-19,100.73377763506303,100.75792939252786
2017-01-20,100.76312430820342,100.67248045243079
2017-01-23,100.79247953088145,100.82257451066641
2017-01-24,100.82184330558786,100.69641479153351
2017-01-25,100.8512156348141,100.74232889446367
2017-01-26,100.88059652105235,101.21180843332084
2017-01-27,100.90998596679552,101.49809476343823
2017-01-30,100.93938397453725,101.40760111766674
2017-01-31,101.45780406921986,101.34449309731727
2017-02-01,101.48736167227479,100.90612025634883
2017-02-02,101.6554158424725,101.22786951758869
2017-02-03,101.68503101557249,100.97066756931461
2017-02-06,101.87566390155666,101.37366778884235
2017-02-07,101.90534323930879,101.52363622382293
2017-02-08,102.35372849182271,101.41705114110573
2017-02-09,102.3835471036654,101.157332718248
2017-02-10,102.4133744025352,101.212284870359
2017-02-13,102.57423705938082,101.27246785996111
2017-02-14,102.60411991176933,101.48719680280409
2017-02-15,102.63401146990006,101.1629697711889
2017-02-16,102.9201634638589,101.33072777600853
2017-02-17,102.97997743010121,101.4072561142887
2017-02-20,103.06032446852714,101.33717539653024
2017-02-21,103.09034893228625,101.64839541480467
2017-02-22,103.12038214304306,101.65148440700948
2017-02-24,103.15042410334584,101.98098973231873
2017-02-27,103.18047481574364,101.79958088516467
2017-02-28,103.55815787980481,102.15347641875626
2017-03-01,103.58832737688581,102.29656255015324
2017-03-02,103.61850566321694,101.99678512573246
2017-03-03,103.64869274135879,102.23385125595344
2017-03-06,103.81417212600654,102.58933178326404
2017-03-07,103.89562006637516,102.79700924452376
2017-03-09,103.70627125954367,101.66847691935038
2017-03-10,103.73648390635105,101.84260411390821
2017-03-13,103.76670535497935,101.63224374192045
2017-03-14,103.79693560799278,101.47889165635728
2017-03-15,103.82717466795634,101.41999133149073
2017-03-16,103.8574225374357,101.0906223633485
2017-03-17,103.66158931312793,101.22447846771416
2017-03-20,103.69178894278747,101.3101625693831
2017-03-21,103.72199737047563,101.2473981760032
2017-03-22,103.75221459875559,101.13032188252747
2017-03-23,103.94622468452792,101.04562903740765
2017-03-24,103.97650723673244,101.1045518413858
2017-03-27,104.00679861112336,101.02826867412308
2017-03-28,104.20455572360447,101.03650907292183
2017-03-29,104.36340668534785,101.87197163802851
2017-03-30,104.42920100652677,101.81635194045282
2017-03-31,104.50754371483492,101.22052845214151
2017-04-03,104.5379897955648,101.50178018569893
2017-04-04,104.3246812305018,101.90330462671342
2017-04-05,103.91867842926621,102.02845703416895
2017-04-06,103.94895295644709,102.00675273790651
2017-04-07,104.0926374583049,102.12818535796549
2017-04-10,103.88095008611843,101.89611532043773
2017-04-11,103.9112136219379,101.79434462313685
2017-04-12,103.94148597440375,101.72021914905034
2017-04-13,103.97176714608447,101.66246664356345
2017-04-14,104.00205713954941,101.66567573797448
2017-04-17,103.66845519304549,101.77538916732631
2017-04-18,103.05352878332461,101.89156179185441
2017-04-19,103.08355126730336,102.05768499958785
2017-04-20,103.11358249770306,102.15460547624481
2017-04-21,103.14362247707182,102.31730984628166
2017-04-24,102.84561826012387,102.40582622025416
2017-04-25,103.08587024264384,102.19223298103745
2017-04-26,103.50458346261284,102.47308057044368
2017-04-27,103.53473735191116,102.20315941513392
2017-04-28,103.5649000259126,102.57708170605787
2017-05-02,103.61320977228263,103.03094799280434
2017-05-03,103.64339530757775,101.41148979861312
2017-05-04,103.79479854272863,101.27445508526259
2017-05-05,103.82503698010304,101.55848772701253
2017-05-10,103.45861690437074,101.69659970625756
2017-05-11,103.48875740227649,101.42401551327134
2017-05-12,103.51988097549257,101.02430866966193
2017-05-15,103.55003932140039,100.79204442210451
2017-05-16,103.5802064533097,100.76416011359159
2017-05-17,103.6103823737801,100.3937794455068
2017-05-18,103.63514854087927,100.57410073479546
2017-05-19,103.66534046757444,100.2758573125716
2017-05-22,103.66609761243332,100.27523206099764
2017-05-23,103.69629855549127,99.95109981875953
2017-05-24,103.82220745135938,99.75563802123283
2017-05-25,104.14360515453717,100.05437148079874
2017-05-26,104.17394520940144,99.88053403218696
2017-05-29,103.81856342883493,100.0386327768709
2017-05-30,103.89110854411263,100.1302319455373
2017-05-31,103.12867927165156,100.82303784566682
2017-06-01,103.15872364914873,101.18251650025715
2017-06-02,103.0719046933886,101.39776638178124
2017-06-05,103.23797833657098,101.56032860432225
2017-06-06,102.85729704672802,102.40688698022633
2017-06-07,103.07570570411015,102.2294358200926
2017-06-08,103.10573464886959,102.0278981401323
2017-06-09,103.13577234193221,102.06671646275265
2017-06-13,103.16581878584662,102.11494030143237
2017-06-14,103.13213618726793,101.7268547070952
2017-06-15,103.16218157186495,101.73490307509866
2017-06-16,103.45924791758941,102.00949238453985
2017-06-19,103.48938859932763,101.83745503189829
2017-06-20,103.23647072083317,101.95655505059968
2017-06-21,103.60828625180659,102.07791460096273
2017-06-22,103.6384703527373,102.10478100316287
2017-06-23,103.66866324717266,102.34324626871654
2017-06-26,103.69886493767451,101.99441219129791
2017-06-27,103.72907542680535,102.03441486849164
2017-06-28,102.56991692202878,101.85267536748125
2017-06-29,102.5997985158359,101.76371888756319
2017-06-30,102.62968881501855,101.84533469946818
2017-07-03,102.65958782211293,101.66543134748848
2017-07-04,102.68949553965588,101.73822589805931
2017-07-05,103.10978180569408,101.79421943069543
2017-07-06,103.13982067781095,101.70969939814924
2017-07-07,103.41469840815306,102.10060412746913
2017-07-10,103.44482611132617,102.2360396934449
2017-07-11,103.36789274683818,102.53804105732534
2017-07-12,102.92923553859346,102.3503707548482
2017-07-13,102.9592218123425,102.39497628553588
2017-07-14,102.7826748274016,102.45264925252992
2017-07-17,102.70928288900332,102.57348908973066
2017-07-18,102.7392050841616,102.1697934433758
2017-07-19,102.97845487047564,102.21029198108594
2017-07-20,103.00845548324462,102.18727378825366
2017-07-21,103.03846483606283,102.2069647681796
2017-07-24,103.06848293147652,102.15076141734997
2017-07-25,103.17963220712153,102.15534386356661
2017-07-26,103.2514927877252,101.80056345168965
2017-07-27,103.28157294436417,102.13259548647977
2017-07-28,103.15924637019171,101.99852048926505
2017-07-31,103.2690463184972,101.8105618462082
2017-08-01,103.4054990893166,102.07309854537706
2017-08-02,103.43562411246111,102.17056701199292
2017-08-03,103.07251947670899,102.06975734542752
2017-08-04,103.1025474932279,102.1977618224277
2017-08-07,103.13258425777958,102.45490382664516
2017-08-08,103.16262977291255,102.60674014767527
2017-08-09,103.19268404117612,102.44223772603512
2017-08-10,103.22274706512036,102.13334903156706
2017-08-11,103.33051473817727,101.98742397826064
2017-08-14,103.36061791620396,101.80732744402215
2017-08-15,103.39072986416011,101.93349524808
2017-08-16,103.4208505846007,101.93385768628646
2017-08-17,103.24581133900274,101.86065574974879
2017-08-18,103.2758898404708,101.91328083090411
2017-08-21,103.30597710467934,101.86782415878278
2017-08-22,103.3360731341812,101.80997566927408
2017-08-23,103.36617793152998,101.55621149387966
2017-08-24,103.39629149927998,101.44907292415776
2017-08-25,103.42641383998627,101.32005932440218
2017-08-28,103.45654495620472,101.4685038211792
2017-08-29,103.48668485049184,101.23680624782537
2017-08-30,103.52756302573722,101.21337769679339
2017-08-31,103.55772360964926,101.12255606901743
2017-09-01,103.96228183787383,100.98784178093271
2017-09-04,103.99256906799319,101.14012368662851
2017-09-05,104.02286512166172,101.07414727134565
2017-09-06,104.05317000145003,101.21128167527652
2017-09-07,104.08348370992938,101.16741697273964
2017-09-08,104.11380624967184,101.6215852315783
2017-09-11,104.444190288077,101.4316976562413
2017-09-12,104.45849676829772,101.37367424686902
2017-09-13,103.99663309962548,101.89554812255962
2017-09-14,103.29758053895688,102.00996825230236
2017-09-15,103.32767412229546,101.99717017583745
2017-09-18,103.11070724866188,102.00739092389219
2017-09-19,103.14074639038715,101.9736512004302
2017-09-20,103.17079428338626,102.00508758723791
2017-09-21,103.32679013005215,101.85183937643369
2017-09-22,103.35689222299239,101.85960712383182
2017-09-25,103.38700308554597,101.67703842635143
2017-09-26,103.41712272026776,101.75934222426108
2017-09-27,103.44725112971337,101.57414877480478
2017-09-28,103.47738831643909,101.51513294657215
2017-09-29,103.50753428300199,101.43777017069335
2017-10-02,103.53768903195993,101.46665371453284
2017-10-03,103.57530880939834,101.6036907619701
2017-10-04,103.75280723348307,101.62873405482227
2017-10-05,103.78303343757032,101.62961676856182
2017-10-06,103.81326844742811,101.5422728738692
2017-10-09,103.8303676238305,101.694266039798
2017-10-10,103.86061642351059,101.81743964311251
2017-10-11,103.89087403554399,102.05170706761218
2017-10-12,103.9828979080317,102.06202538711898
2017-10-13,104.01319114421062,101.8545804938894
2017-10-16,104.04349320568852,101.72629396373011
2017-10-17,104.05214254596129,101.45975568119458
2017-10-18,102.78450837394819,101.41514393962564
2017-10-19,102.81445248447358,101.54052206031024
2017-10-20,102.49930622464305,101.04599503011447
2017-10-23,102.52916724750457,100.87733515902246
2017-10-24,102.55903696974877,101.13642916838768
2017-10-25,102.52768154376182,101.29510265864731
2017-10-26,102.5575508331774,101.3995133545203
2017-10-27,102.60870802483561,101.36498842217232
2017-10-30,102.63860091961683,101.20509627995098
