date,E,M
2020-01-03,100.0,99.97603058733675
2020-01-06,100.01927758540094,100.05142306975073
2020-01-08,100.0385588870549,99.94584076271786
2020-01-09,100.05784390567824,100.18493284477915
2020-01-10,100.0771326419875,99.98625709285638
2020-01-13,100.0964250966994,100.55619336959928
2020-01-14,100.11572127053073,100.77071269790736
2020-01-15,100.1350211641984,100.20728123616368
2020-01-16,100.1543247784196,100.20153760416066
2020-01-17,100.17363211391152,100.0523312199915
2020-01-20,100.19294317139152,99.66257520168654
2020-01-21,100.21225795157712,100.07518560500382
2020-01-22,100.23157645518597,100.43290199409698
2020-01-23,100.25089868293584,100.14478826622366
2020-01-24,100.27022463554466,100.2127788210586
2020-01-27,100.45419454215104,100.315160845356
2020-01-28,100.8657445337842,100.16120344690506
2020-01-29,100.885189013827,100.58777441758407
2020-01-30,101.45607317800649,100.643211472469
2020-01-31,101.47563145915782,100.95434255675221
2020-02-03,101.49519351067354,101.066123560217
2020-02-04,101.51475933328041,101.11502046750682
2020-02-05,101.53432892770546,101.10621209528766
2020-02-06,101.55356397868125,101.18715725947305
2020-02-07,101.57314105370496,101.24588700651658
2020-02-10,102.10192419671918,101.4894171818859
2020-02-11,102.12160698235223,101.72322270910156
2020-02-12,102.08019668925118,102.20688272539284
2020-02-13,102.62044847825896,102.45593013234725
2020-02-14,102.6402312228532,102.48616376846215
2020-02-17,102.66001778108293,102.51429386438619
2020-02-18,102.69416768387947,102.62706645865609
2020-02-19,102.71396463975651,102.75883519602485
2020-02-20,102.73376541200865,102.89550162505107
2020-02-21,102.75357000137157,103.04134622284609
2020-02-25,102.86191029380963,103.05083100655455
2020-02-26,103.14068581756513,103.14311766214564
2020-02-27,103.16056885135673,103.24738331966641
2020-02-28,103.18045571811717,103.20382004565013
2020-03-02,103.20034641858533,103.16942196699087
2020-03-03,103.22024095350025,103.11692244795263
2020-03-04,103.24013932360114,102.82825595873932
2020-03-05,103.2600415296273,102.97989289194163
2020-03-06,103.27994757231824,102.86936002562406
2020-03-10,103.09545350946311,103.08908778868005
2020-03-11,103.11532782355788,103.2730310770366
