date,E,M
2017-01-03,100.0,99.90936297314096
2017-01-04,100.029132902418,99.96400618563395
2017-01-05,100.0862240660395,100.08547824696986
2017-01-06,100.11538208803051,100.15230848834803
2017-01-09,100.18822668188719,99.97595517767004
2017-01-10,100.20835699426152,99.53007298981223
2017-01-11,100.40707566259854,99.12806527150602
2017-01-12,100.43632715797207,98.63939766852374
2017-01-13,100.46558717515522,98.5899160483216
2017-01-16,100.49485571663062,98.55900046280017
2017-01-17,100.52413278488166,98.84341236713686
2017-01-18,100.58860267445365,98.79511478650578
2017-01-19,100.34420948419438,98.7757236855367
2017-01-20,100.51634059799979,98.71160402522595
2017-01-23,100.50812614588308,99.23636473750906
2017-01-24,100.58970170189768,99.3183587175815
2017-01-25,100.57642887805416,99.3603733960751
2017-01-26,100.42557911810827,99.56776808925787
2017-01-27,100.58559438577086,99.89590950512768
2017-01-30,100.89685354330251,100.0198564130436
2017-01-31,101.22301314443364,100.13673104523636
2017-02-01,101.25250234607755,99.92097105767519
2017-02-02,101.19099299003437,100.125493587635
2017-02-03,101.26285862763771,99.8722688179843
2017-02-06,101.51702406278697,100.21222734842489
2017-02-07,101.54659891834486,100.13876492985571
2017-02-08,101.39690283265176,100.45927004884294
2017-02-09,101.35252760107333,100.66099809029745
2017-02-10,101.38205453403752,100.74920262884844
2017-02-13,101.70330528613916,100.89490816479922
2017-02-14,101.60391907746306,100.87380356425938
2017-02-15,101.6380440576888,100.68520616395084
2017-02-16,101.6676541698837,100.39560388389935
2017-02-17,101.69727290836366,100.39461810329507
2017-02-20,101.88577479632636,100.27691018424355
2017-02-21,101.9154570796756,100.63283516738741
2017-02-22,101.94514801033549,100.40664127358492
2017-02-24,102.04973005464157,100.4511576449891
2017-02-27,102.24193155448691,100.65280533735059
2017-02-28,102.23796619433975,101.0938552832861
2017-03-01,102.29047924494269,101.36863608871225
2017-03-02,102.32027943044397,101.00343759057677
2017-03-03,102.52402223401177,101.27140976718414
2017-03-06,102.56183721297965,101.38858932269665
2017-03-07,102.54022324522685,101.70494943447305
2017-03-09,102.570085285397,101.92620257465343
2017-03-10,102.69046900161088,102.10666713643009
2017-03-13,102.81584907890786,102.58100273620553
2017-03-14,102.84580231989023,102.47845458219837
2017-03-15,103.3261096069269,102.20061545205296
2017-03-16,103.35621150161097,102.17222700621323
2017-03-17,103.70131486026607,102.37280557037177
2017-03-20,103.73152606313049,101.91452584755413
2017-03-21,103.84284241013668,102.15726108209759
2017-03-22,104.05981464701969,102.8545072007306
2017-03-23,104.10399205222151,102.40364398349291
2017-03-24,104.13432056663932,102.63933361614379
2017-03-27,104.0410251094895,102.92700267748326
2017-03-28,104.48879644744108,103.19647781534415
2017-03-29,104.55375735182668,103.32320770999507
2017-03-30,104.31212370687159,103.54150540848993
2017-03-31,104.54317222119403,103.36734689595923
2017-04-03,104.55605110001241,103.48958547279778
2017-04-04,104.36618797540686,103.7348459856771
2017-04-05,104.5477313004336,103.58069938521822
2017-04-06,104.57818908897359,103.2271429488671
2017-04-07,104.60865575075137,103.44620638143171
2017-04-10,104.63913128835202,103.20533723255299
2017-04-11,104.66961570436129,102.89646378502111
2017-04-12,104.70010900136575,102.95283909994755
2017-04-13,104.7711095600569,102.70426227714889
2017-04-14,104.82770546428344,102.59586630079501
2017-04-17,104.1366874407338,102.63198408212133
2017-04-18,104.115460530342,102.1892128490013
2017-04-19,104.17809519237584,101.24294398087487
2017-04-20,104.20844529518916,100.57302088798602
2017-04-21,104.61248165223796,100.62607216320444
2017-04-24,104.64295830443476,100.93483130188913
2017-04-25,104.70003823514682,101.17298712596198
2017-04-26,104.73054039511746,101.38212876557928
2017-04-27,105.2201860151684,101.38671068366415
2017-04-28,105.32142624840716,101.11393780200004
2017-05-02,105.27849398423727,101.97281752576168
2017-05-03,105.75211499137919,101.42856356653112
2017-05-04,105.81820356122368,101.02477697927922
2017-05-05,105.9482691989731,101.36143172261646
2017-05-10,105.75584716525206,101.20578954880308
2017-05-11,105.78665691300803,100.56608448021079
2017-05-12,105.64662763991811,100.16017706424505
2017-05-15,105.71448620456847,99.93880781927487
2017-05-16,105.11583309149405,100.01750533313374
2017-05-17,105.29106106668434,99.91821449729498
2017-05-18,105.53899569975896,99.75625282905689
2017-05-19,104.02350467097301,99.06657838325665
2017-05-22,104.02049370614584,99.04359089442933
2017-05-23,102.96265443178001,98.91680148293413
2017-05-24,102.90368733698288,99.22025684282401
2017-05-25,102.34264411540182,99.22755975155434
2017-05-26,102.37712482070687,99.45790103312855
2017-05-29,102.93187398377216,100.17395137316224
2017-05-30,102.9564132841978,100.05104216997007
