date,E,M
2020-01-03,100.0,99.75379120565458
2020-01-06,100.01927758540094,100.24284364473446
2020-01-08,100.0385588870549,100.69439846290682
2020-01-09,100.05784390567824,100.13265289322082
2020-01-10,100.0771326419875,99.6481350107903
2020-01-13,100.0964250966994,99.65956220244745
2020-01-14,100.33006383220572,99.54507402490442
2020-01-15,100.34940504594378,99.85994528042188
2020-01-16,100.36874998820088,100.19500180777423
2020-01-17,100.38809865969573,99.96456329737178
2020-01-20,100.40745106114724,99.45393315144203
2020-01-21,100.42680719327447,99.43162515926066
2020-01-22,100.44616705679663,99.21116168009898
2020-01-23,100.51738754415881,99.17429566565451
2020-01-24,100.53676486938544,99.45055789852941
2020-01-27,100.91547522228278,99.85906256362811
2020-01-28,100.95698384977145,99.8571797935431
2020-01-29,100.9764459185513,100.27045227936092
2020-01-30,100.9959117391481,100.6683874226794
2020-01-31,101.01538131228509,100.26919125626468
2020-02-03,101.03485463868567,100.3729391581485
2020-02-04,101.05433171907336,99.96095220096076
2020-02-05,101.07381255417188,99.76557963232605
2020-02-06,101.26292402176232,99.6304072258283
2020-02-07,101.28244506842012,99.59808925098001
2020-02-10,101.42874689440136,99.63629620833201
2020-02-11,101.44829990770506,99.99802908495509
2020-02-12,101.46785669035758,99.9845652394257
2020-02-13,102.2512158795749,100.36849011385726
2020-02-14,102.53604149642227,101.04782036986568
2020-02-17,103.4334684428097,101.61496040100441
2020-02-18,103.45340791802194,101.4287034065796
2020-02-19,103.47335123708352,101.70194437498208
2020-02-20,103.49329840073548,101.97715977229103
2020-02-21,103.86326187541773,101.99811266028397
2020-02-25,104.42088330978535,102.35980188325944
2020-02-26,104.4992400161985,102.72674903566076
2020-02-27,105.31831984746935,103.19211184426484
2020-02-28,105.57644801077736,103.19098885965694
2020-03-02,105.8808539888612,102.97753996152646
2020-03-03,105.96303882345829,103.01031350438174
2020-03-04,106.04136459937924,102.36563108276395
2020-03-05,106.06180681400022,102.61895410076563
2020-03-06,106.37820904485142,102.0809692112682
2020-03-10,106.21405875191773,102.30327880656104
2020-03-11,106.94391144485715,102.309041880886
2020-03-12,106.96452764871705,102.86797808086811
2020-03-13,106.98514782688326,102.21790838881253
2020-03-16,107.00577198012193,102.460454405288
2020-03-17,107.975093958868,101.85141131052114
2020-03-18,107.17296499095823,100.31296004255594
2020-03-19,108.28549205216318,101.11418505038199
2020-03-20,107.76206986303809,101.47264915103611
2020-03-23,107.3982699364392,101.19817971623232
2020-03-24,107.32102690248557,101.90191587763348
2020-03-25,107.42204791740404,102.65630273566778
2020-03-26,107.44275629443078,102.01059037868838
2020-03-27,107.46346866353257,102.33350781192317
2020-03-30,107.48418502547901,102.97308815855193
2020-03-31,107.37442582105558,103.83035832417104
2020-04-01,107.39512501769202,105.50942802412989
2020-04-02,107.41582820463377,104.30395496151075
2020-04-03,107.14330210365411,103.45042810029996
2020-04-06,107.16395674521854,104.12020268258567
2020-04-07,107.18461536849914,105.18808487923064
2020-04-08,107.58971170882168,104.83895999667288
2020-04-09,107.07002438931158,104.76810548801339
2020-04-10,107.09066490470207,105.01045737914208
2020-04-13,106.89178083626811,104.51697096846227
2020-04-14,106.91238699060543,104.92447310064877
2020-04-15,107.52941030297946,104.34054989648081
2020-04-16,107.55013937688175,104.63070471968169
2020-04-17,107.65469182059148,104.32281510681642
2020-04-20,108.27359159006167,105.14213007324355
2020-04-21,108.29446412414711,104.54152168389398
2020-04-22,108.05418273394704,104.64594232273352
2020-04-23,108.0174191452094,105.77348551934598
2020-04-24,108.0240405173317,105.31893860181347
2020-04-27,107.91189665104208,105.22294036722758
2020-04-28,108.95378654501204,105.16912465885548
2020-04-29,108.97479020426084,105.46162995887558
2020-04-30,109.27676231981029,105.74582337629172
2020-05-04,109.14665368533288,105.46077271666168
2020-05-05,109.16769452470936,105.49356430303814
2020-05-06,109.62825271526941,105.58748853345524
2020-05-07,109.64938639531017,105.98768427390544
2020-05-08,109.66067399787592,105.78168558078306
2020-05-12,109.81868441140458,105.74479743022755
2020-05-13,109.8398548020782,105.55319238004486
2020-05-14,109.30430735461543,105.07180235367878
2020-05-15,109.55468042078178,105.65264601284838
2020-05-18,109.49430646661314,106.08302441037483
2020-05-19,109.69106289593648,106.47700929776055
2020-05-20,110.3419612821699,106.61248815113822
2020-05-21,110.36323254798916,106.99726209315622
2020-05-22,110.38450791439486,107.1005049788843
2020-05-25,110.40578738217748,107.510734769949
2020-05-26,110.42707095212765,108.2097344154147
2020-05-27,110.44835862503624,108.05961804244804
2020-05-28,110.09279773732776,108.14412698432307
2020-05-29,110.11402097043188,107.76017985597414
2020-06-01,110.83542188950793,107.67421325365919
2020-06-02,110.3466857038909,107.65531006369262
2020-06-03,110.3679578804646,108.06342033188835
2020-06-04,110.38923415780029,108.0520580689998
2020-06-05,110.41051453668854,107.45146525845959
2020-06-08,110.43179901791996,107.19042566835869
2020-06-09,110.45308760228545,107.71941689981587
2020-06-10,110.31587641508844,108.87365465158634
2020-06-11,109.75942578432756,109.13300094721569
2020-06-15,110.09944054982019,109.39101579577533
2020-06-16,111.23236277848932,109.88112515806087
2020-06-17,111.87121000639992,110.0017739450887
2020-06-18,112.22494127234098,110.0686697511231
2020-06-19,112.24657553123593,110.10056999009517
2020-06-22,112.2682139606936,110.22439975495638
2020-06-23,112.28985656151801,110.73638959416996
2020-06-25,112.8194411409503,110.82679884265728
2020-06-26,112.84119000506513,111.19501800402199
2020-06-29,112.86294306183582,110.49626249160161
2020-06-30,112.88470031207058,110.62326490228138
2020-07-02,113.35081569045886,111.1965374676276
2020-07-03,113.37266699075627,111.24494235262526
2020-07-06,113.39452250345677,110.99569154351036
2020-07-07,113.53104030223903,110.84141752983805
2020-07-08,113.7210501569372,110.78332283340808
2020-07-09,112.76811270557424,110.36810511953442
2020-07-10,112.7898516748061,110.18945595474804
2020-07-13,112.81159483478632,109.59507195584388
2020-07-14,112.83334218632277,110.56033294672636
2020-07-15,112.8550937302235,110.10989059575856
2020-07-16,112.87684946729668,110.055056002633
2020-07-17,112.52519521067558,110.06866079011799
2020-07-20,113.02071052889927,110.26161704034291
2020-07-21,113.04249819289224,110.8583108994231
2020-07-22,113.06429005702074,110.27020715877956
2020-07-23,113.60260709443259,110.12003518857001
2020-07-24,113.62450693403294,109.6082141775541
2020-07-27,113.6464109953936,109.25995901239136
2020-07-28,113.60132336151867,109.7210046170003
2020-07-29,113.6232229536463,109.50601942311532
2020-07-30,113.64512676748652,109.41085971136621
2020-07-31,113.66703480385314,109.63281719881464
2020-08-03,113.68894706356018,109.76614260540858
2020-08-04,113.71086354742182,109.73193940271183
2020-08-05,113.18956244133507,110.571399154036
2020-08-06,113.2113826558997,110.35759841647857
2020-08-07,113.23320707687479,110.12017571718377
2020-08-10,113.25503570507128,110.36733405218513
2020-08-11,113.2768685413002,110.34505387060014
