date,E,M
2020-01-03,100.0,99.72423580667379
2020-01-06,100.01927758540094,100.05073328705228
2020-01-08,100.0385588870549,100.35570834397116
2020-01-09,100.05784390567824,99.9257517185474
2020-01-10,100.0771326419875,99.5746497887278
2020-01-13,100.0964250966994,99.57612053823382
2020-01-14,100.11572127053073,99.61454038018758
2020-01-15,100.1350211641984,100.03670832374321
2020-01-16,100.1543247784196,100.37225676918392
2020-01-17,100.17363211391152,100.00606928250156
2020-01-20,100.19294317139152,99.69591800254152
2020-01-21,100.21225795157712,99.56006830589584
2020-01-22,100.53304165192803,99.31291676149948
2020-01-23,100.66806362905368,99.36984454581274
2020-01-24,100.68747000099124,99.49578441087114
2020-01-27,100.93486335524594,99.83093620088302
2020-01-28,100.93769023690697,99.92994715050261
2020-01-29,100.95714858634415,100.42191334284034
2020-01-30,100.97661068688124,100.68268141860958
2020-01-31,100.99607653924139,100.46685986672807
2020-02-03,101.01554614414788,100.40425707428989
2020-02-04,101.03501950232403,100.07200243500054
2020-02-05,101.05449661449347,99.8720052659736
2020-02-06,101.24052946935335,99.79838162460042
2020-02-07,101.26004619888218,99.83755778044329
2020-02-10,101.40229148908875,99.73066605677214
2020-02-11,101.4218394024291,100.2390154993043
2020-02-12,101.48306855033752,100.45709482537578
2020-02-13,101.89949424527931,100.83252964852133
2020-02-14,102.24054643522852,101.67322924933038
2020-02-17,103.06088232728573,101.71091842203832
2020-02-18,103.08074997689135,101.6918616141042
2020-02-19,103.10062145650008,102.18411832426465
2020-02-20,103.17350094652065,102.43831859319243
2020-02-21,103.19339030627675,102.38797313522261
2020-02-25,103.75587173474725,103.03957822629047
2020-02-26,104.16687945671151,103.41248790767138
2020-02-27,104.76530761257777,103.66254852670798
2020-02-28,105.02264081277856,103.59478204235934
2020-03-02,105.38259145505353,103.09533400762504
2020-03-03,105.44903060871897,102.99897231571111
2020-03-04,105.5275799654188,102.46349726017029
2020-03-05,105.54792313476818,102.58966984662828
2020-03-06,105.73387317500195,101.99935343979755
2020-03-10,105.59380396001674,102.23754154946278
2020-03-11,106.00964850941831,102.19853809307696
2020-03-12,106.03008460994299,102.49062773620948
2020-03-13,106.05052465005437,101.65586023385512
2020-03-16,105.5025567680823,102.07188687051647
2020-03-17,106.4502521774362,101.69632756480877
2020-03-18,106.56508045558647,100.32740056045165
2020-03-19,107.73213027473389,101.09987504674355
2020-03-20,107.52702638672677,101.04798592452894
2020-03-23,107.10554081967533,101.04162905976935
2020-03-24,107.1657849096396,101.52204067475863
2020-03-25,107.14684855102261,101.90031028695745
2020-03-26,107.16750387625648,101.2391310191841
2020-03-27,107.18816318333828,101.56327984474837
2020-03-30,107.20882647303566,102.22548822804725
2020-03-31,107.01670848992006,102.83803467003612
2020-04-01,107.0373387272925,104.34976252216623
2020-04-02,107.05797294167657,103.17932751617509
2020-04-03,107.07861113383893,102.48269595449678
2020-04-06,107.09925330454641,103.21792986912678
2020-04-07,107.22069739502919,104.2454595773797
2020-04-08,107.12392045097387,103.71470047639032
2020-04-09,107.78823886658553,103.85904788361765
2020-04-10,107.80901783638524,104.09441317779716
2020-04-13,107.64700083602823,103.78980762572549
2020-04-14,107.82376005872128,104.12221050353801
2020-04-15,108.40893627388432,103.87464429320079
2020-04-16,108.17683968747279,104.01512746942717
2020-04-17,108.1976935701276,103.74189918504791
2020-04-20,108.21855147290745,104.66726547528117
2020-04-21,108.23941339658731,103.98196175851479
2020-04-22,108.26027934194232,103.74823878033274
2020-04-23,108.19289668789034,104.67336224861513
2020-04-24,108.18260564924448,104.26158949270337
2020-04-27,108.20346064343747,104.01633072373913
2020-04-28,108.22431965796979,103.85206850984343
2020-04-29,108.41984774917728,104.17746600217444
2020-04-30,108.52188640071498,104.3366008046453
2020-05-04,108.5428068000446,104.21690164722938
2020-05-05,108.56398414118249,104.0783769372366
2020-05-06,108.89238811195267,104.16129209422976
2020-05-07,108.91337993506609,104.54123777425025
2020-05-08,108.79902718889537,104.47772997894364
2020-05-12,109.11294367930999,104.44319765277213
2020-05-13,108.42350164640729,104.12940536216448
2020-05-14,108.44440307953188,103.8031802257632
2020-05-15,107.8986963041695,104.31342212039345
2020-05-18,107.792288134079,104.63083783061072
2020-05-19,107.72681379115653,104.91022429236027
2020-05-20,108.1318189303196,105.2231316735658
2020-05-21,108.28446577323484,105.58498049873425
2020-05-22,108.66682929716622,105.82052149427581
2020-05-25,109.39065067910956,106.3663872380217
2020-05-26,109.15467571195155,106.91890176127157
2020-05-27,108.99151290347734,106.76681646842314
2020-05-28,109.0125238354571,106.88461762292496
2020-05-29,109.03353881783723,106.65349839255302
2020-06-01,109.74214614049325,106.55142694080989
2020-06-02,109.64873769665088,106.54099830996876
2020-06-03,109.66987532570143,106.8359539577688
2020-06-04,109.69101702957646,106.65582571268034
2020-06-05,109.71216280906152,106.28112073576258
2020-06-08,109.73331266494226,106.12456138498504
2020-06-09,109.75446659800454,106.45591225164843
2020-06-10,109.56064600907067,107.36525623642565
2020-06-11,109.58176665617088,107.21658119538274
2020-06-15,109.91141372736094,107.62182646310664
2020-06-16,110.9534959818169,108.68394170401396
2020-06-17,110.97488513676015,108.63130392265344
2020-06-18,111.62047007535034,108.63448135391899
2020-06-19,112.12168653234012,108.71117809414488
2020-06-22,112.14330088621438,108.83023599867826
2020-06-23,111.79367181807487,109.34184954505847
2020-06-25,112.27571976446961,109.54870703829833
2020-06-26,112.29736381223175,109.82417055596366
2020-06-29,112.3190120324437,109.32665831059045
2020-06-30,112.64032441380618,109.37002138900654
2020-07-02,112.66203874854097,109.77779546531445
2020-07-03,112.68375726927518,109.74973996737648
2020-07-06,112.70547997681577,109.53076957703344
2020-07-07,112.95985284116455,109.28761818845123
2020-07-08,113.15598596791591,109.30380512297923
2020-07-09,112.20924159188988,108.8507778102648
2020-07-10,112.23087282426552,108.81141252137415
2020-07-13,112.25250822662045,108.32376603205819
2020-07-14,112.27414779975855,109.08891162563978
2020-07-15,111.61677556926158,108.81427347662532
2020-07-16,111.63829258849373,108.78804155093214
2020-07-17,111.22820063287995,108.98149374664779
2020-07-20,111.5071287549361,108.97598464255934
2020-07-21,111.52862463691,109.41293940682453
2020-07-22,111.55012466277088,108.87649323531784
2020-07-23,111.57162883331762,108.49799468515728
2020-07-24,111.59313714934919,108.03870305734264
2020-07-27,111.83779374537626,107.59687051784275
2020-07-28,111.85935337157606,108.09805336573845
2020-07-29,111.88091715395123,108.0864069191909
2020-07-30,111.87523396974173,108.01592447164698
2020-07-31,111.89680081351275,108.19555907319389
2020-08-03,111.91837181485052,108.3980917384601
2020-08-04,111.7974075667008,108.25254137846123
2020-08-05,111.8189594074205,108.88682062803028
2020-08-06,111.95657645552372,108.598418521335
2020-08-07,111.44462495053199,108.60543029511282
2020-08-10,111.46610878328158,108.82570654051557
2020-08-11,111.20501739446742,108.49059681693616
2020-08-12,111.22645503666578,108.61123013368544
2020-08-13,111.24789681152392,108.6024684588007
2020-08-14,111.26934271983853,108.6681230185901
2020-08-17,111.29079276240643,109.06920645309152
2020-08-18,111.31224694002461,109.09606699398877
2020-08-19,112.58779105569037,109.36810180500642
2020-08-20,112.41094306148293,109.25767852129815
2020-08-21,112.43261317703163,108.66927168940084
2020-08-24,112.58007007705731,108.95501008870225
2020-08-25,112.60177279621085,108.50529149411899
2020-08-26,111.59740616172552,108.9313538239685
2020-08-27,112.2206069190927,109.02111656739713
2020-08-28,111.93056321768228,109.51071860441644
2020-08-31,111.95214072759637,108.63077003212085
2020-09-01,112.00580324216574,108.58709449725137
2020-09-02,112.02029922559055,108.27415642148296
2020-09-03,111.87147229662018,108.4206622121826
2020-09-04,112.76328137030092,108.56388647809212
2020-09-07,112.78501940816798,107.86692960897322
2020-09-08,113.00466797198419,107.87021345772033
2020-09-09,113.3463946356995,107.64571140005245
2020-09-10,113.36824508372428,107.80162958628513
2020-09-11,113.39084051377301,107.86495858564813
2020-09-14,113.41269952988992,107.67799017051722
2020-09-15,113.624383560639,108.20039075791101
2020-09-16,113.57921090201236,108.78442455716964
2020-09-17,115.03772053469353,109.41184890121292
2020-09-18,115.3018051199968,109.09522179204654
2020-09-21,115.32403252394766,108.61246487893084
2020-09-22,115.34777274198447,108.50402514866475
2020-09-23,115.23658608116328,107.95654293089373
2020-09-24,115.25880091245821,108.22819444126425
2020-09-25,115.01665866771458,108.63856858786119
2020-09-28,115.19391216306285,107.84829846188241
2020-09-29,114.86874995537505,107.33232372978192
2020-09-30,114.8908938767467,106.74432187446217
2020-10-01,114.91304206693171,106.36787245905906
2020-10-02,114.93519452675301,106.61897162119979
2020-10-05,114.95735125703365,106.16140336462716
2020-10-06,115.17144384107596,105.86849295965098
2020-10-07,115.19364611451995,106.34949231592309
2020-10-08,115.21585266802617,106.40132054784051
2020-10-09,115.23806350241966,106.5968363492002
2020-10-12,115.31588830691338,106.19687131315484
2020-10-13,115.5612536517526,105.74327536439854
2020-10-14,115.69636101496036,105.35716844391531
2020-10-15,115.7186644797608,105.4058808384661
2020-10-16,115.74097224413076,105.57807218849058
2020-10-19,115.76328430889902,105.55551428997053
2020-10-20,114.22272194628732,105.6517134567171
2020-10-21,114.24474132905782,105.85847435199092
2020-10-22,114.52100216688888,106.12861099089822
2020-10-23,113.64155616862467,106.04490424072799
2020-10-26,113.66346351666606,106.20475706403936
2020-10-27,113.21279966076146,106.12831366890988
