date,E,M
2020-01-03,100.0,99.80350624533187
2020-01-06,100.01927758540094,100.08584784337852
2020-01-08,100.0385588870549,100.36068366938723
2020-01-09,100.05784390567824,99.8442828679182
2020-01-10,100.3569318560397,99.34898889558617
2020-01-13,100.37627824928404,99.6592339548788
2020-01-14,100.39562837204585,99.6310113554162
2020-01-15,100.41498222504407,99.89982960892976
2020-01-16,100.43433980899786,100.11550878996393
2020-01-17,100.45370112462643,99.85778164396942
2020-01-20,100.89846944580118,99.48239746529863
2020-01-21,101.11367035295635,99.52897003580502
2020-01-22,101.36535698299893,99.27289982528087
2020-01-23,101.28440782704094,99.12087530687694
2020-01-24,101.41081248552067,99.1287972375661
2020-01-27,101.47658293643464,99.48921780683017
2020-01-28,101.49614517137218,99.42839075530469
2020-01-29,101.51571117743627,99.80201790833264
2020-01-30,101.71973731902709,99.92260156875474
2020-01-31,101.66889095414568,99.70218167258255
2020-02-03,101.68849026142559,99.68491072568057
2020-02-04,101.70809334697866,99.71732209582949
2020-02-05,101.77045325813317,99.73715441307709
2020-02-06,101.79007214417294,99.75102784059291
2020-02-07,101.80969481226023,99.84722969569654
2020-02-10,101.95891032400151,99.94031585115357
2020-02-11,101.85309866438612,100.37753686185722
2020-02-12,101.99696266182644,100.70610536871163
2020-02-13,102.45486868248102,101.03206734913181
2020-02-14,102.47461950728874,101.36707827468133
2020-02-17,101.98612039593738,101.21872671349166
2020-02-18,102.08333610712855,101.31920624371415
2020-02-19,102.10301530942674,101.52824953032702
2020-02-20,102.12269830539996,101.74534005316741
2020-02-21,102.23147739063114,101.81670084606304
2020-02-25,102.83410301865739,102.57539944891195
2020-02-26,103.0415477131052,102.93733387748803
2020-02-27,103.39317252726481,103.0747664722293
2020-02-28,103.41310423439751,102.57544412022251
2020-03-02,103.91401027235598,102.2562233766498
2020-03-03,103.97945438540788,102.36758415049573
2020-03-04,103.96917026456771,102.24508808323925
2020-03-05,103.97584585861439,102.42597772757554
2020-03-06,103.99588989109614,102.09062429909785
2020-03-10,103.82427509013458,101.58610871181645
2020-03-11,103.26711128331313,101.6593668164816
2020-03-12,103.28701868888189,101.47939825263204
2020-03-13,103.45545181065143,100.83312300868262
2020-03-16,103.85341622581325,99.81347852233941
